FIPS,Qualifying Name,State Postal Abbreviation,Summary Level,Geographic Component,State (FIPS Code),County of current residence,Census Tract,Area Name,Tribal Tract,Total Population,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: Asian Alone,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: Asian Alone,Per Capita Income (In 2022 Inflation Adjusted Dollars),Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved WithIn Same County,Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Different County WithIn Same State,Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Different State,Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Abroad,% Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved WithIn Same County,% Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Different County WithIn Same State,% Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Different State,% Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Abroad,Average Commute to Work (In Min),Workers 16 Years and Over:,"Workers 16 Years and Over: Car, Truck, or Van",Workers 16 Years and Over: Public Transportation (Includes Taxicab),Workers 16 Years and Over: Bicycle,Workers 16 Years and Over: Walked,"% Workers 16 Years and Over: Car, Truck, or Van",% Workers 16 Years and Over: Public Transportation (Includes Taxicab),% Workers 16 Years and Over: Bicycle,% Workers 16 Years and Over: Walked,Gini Index
6037238400,"Census Tract 2384, Los Angeles County, California",ca,140,0,6,37,238400,Census Tract 2384,,5107,5107,777,2816,0,15.21,55.14,0,39631,63,0,0,1,1.27,0,0,0.02,32,2192,1748,38,0,0,79.74,1.73,0,0,0.4642
6037239201,"Census Tract 2392.01, Los Angeles County, California",ca,140,0,6,37,239201,Census Tract 2392.01,,3563,3563,488,317,3,13.7,8.9,0.08,17197,126,0,0,0,3.6,0,0,0,34,1677,1388,176,0,0,82.77,10.49,0,0,0.4599
6037239202,"Census Tract 2392.02, Los Angeles County, California",ca,140,0,6,37,239202,Census Tract 2392.02,,5645,5645,1084,416,8,19.2,7.37,0.14,14784,379,0,23,0,6.77,0,0.41,0,41,2213,1569,269,33,65,70.9,12.16,1.49,2.94,0.4051
6037239310,"Census Tract 2393.10, Los Angeles County, California",ca,140,0,6,37,239310,Census Tract 2393.10,,4026,4026,907,425,8,22.53,10.56,0.2,17135,190,0,0,0,4.8,0,0,0,37,1811,1363,301,10,44,75.26,16.62,0.55,2.43,0.4044
6037239320,"Census Tract 2393.20, Los Angeles County, California",ca,140,0,6,37,239320,Census Tract 2393.20,,3078,3078,666,277,47,21.64,9,1.53,17642,56,0,0,0,1.84,0,0,0,33,1389,1151,179,7,6,82.87,12.89,0.5,0.43,0.4361
6037239330,"Census Tract 2393.30, Los Angeles County, California",ca,140,0,6,37,239330,Census Tract 2393.30,,2972,2972,630,247,0,21.2,8.31,0,18515,0,0,15,0,0,0,0.51,0,34,1191,959,111,0,12,80.52,9.32,0,1.01,0.4577
6037239501,"Census Tract 2395.01, Los Angeles County, California",ca,140,0,6,37,239501,Census Tract 2395.01,,3668,3668,768,1053,77,20.94,28.71,2.1,18712,159,11,10,0,4.39,0.3,0.28,0,38,1586,1307,142,10,23,82.41,8.95,0.63,1.45,0.4036
6037239502,"Census Tract 2395.02, Los Angeles County, California",ca,140,0,6,37,239502,Census Tract 2395.02,,3624,3624,839,693,7,23.15,19.12,0.19,17340,131,0,0,20,3.66,0,0,0.56,36,1550,1335,97,0,21,86.13,6.26,0,1.35,0.4069
6037239601,"Census Tract 2396.01, Los Angeles County, California",ca,140,0,6,37,239601,Census Tract 2396.01,,3675,3675,538,731,2,14.64,19.89,0.05,17984,162,0,0,0,4.45,0,0,0,35,1686,1370,184,0,49,81.26,10.91,0,2.91,0.3631
6037239602,"Census Tract 2396.02, Los Angeles County, California",ca,140,0,6,37,239602,Census Tract 2396.02,,3967,3967,423,464,49,10.66,11.7,1.24,14910,66,0,20,17,1.7,0,0.51,0.44,39,1449,1252,139,0,0,86.4,9.59,0,0,0.3804
6037239701,"Census Tract 2397.01, Los Angeles County, California",ca,140,0,6,37,239701,Census Tract 2397.01,,4509,4509,629,863,0,13.95,19.14,0,12546,55,0,0,0,1.23,0,0,0,30,1524,1224,134,0,42,80.31,8.79,0,2.76,0.4963
6037239702,"Census Tract 2397.02, Los Angeles County, California",ca,140,0,6,37,239702,Census Tract 2397.02,,4567,4567,173,1568,0,3.79,34.33,0,15935,22,0,0,0,0.49,0,0,0,38,1623,1412,174,24,0,87,10.72,1.48,0,0.4822
6037239801,"Census Tract 2398.01, Los Angeles County, California",ca,140,0,6,37,239801,Census Tract 2398.01,,4116,4116,743,934,0,18.05,22.69,0,19863,150,0,0,0,3.73,0,0,0,36,1740,1492,162,0,0,85.75,9.31,0,0,0.4552
6037239802,"Census Tract 2398.02, Los Angeles County, California",ca,140,0,6,37,239802,Census Tract 2398.02,,5767,5767,1572,793,74,27.26,13.75,1.28,19710,387,95,0,17,6.8,1.67,0,0.3,38,2201,1870,142,10,0,84.96,6.45,0.45,0,0.4195
6037240010,"Census Tract 2400.10, Los Angeles County, California",ca,140,0,6,37,240010,Census Tract 2400.10,,3888,3888,593,697,0,15.25,17.93,0,12910,167,103,0,0,4.31,2.66,0,0,41,1309,1087,102,0,23,83.04,7.79,0,1.76,0.4511
6037240020,"Census Tract 2400.20, Los Angeles County, California",ca,140,0,6,37,240020,Census Tract 2400.20,,5286,5286,1391,665,0,26.31,12.58,0,18503,295,0,36,0,5.71,0,0.7,0,35,2340,1935,298,0,29,82.69,12.74,0,1.24,0.378
6037240200,"Census Tract 2402, Los Angeles County, California",ca,140,0,6,37,240200,Census Tract 2402,,6345,6345,978,1196,19,15.41,18.85,0.3,15373,408,21,0,0,6.58,0.34,0,0,33,2063,1576,224,0,47,76.39,10.86,0,2.28,0.4305
6037240301,"Census Tract 2403.01, Los Angeles County, California",ca,140,0,6,37,240301,Census Tract 2403.01,,3061,3061,343,995,93,11.21,32.51,3.04,19643,134,7,0,0,4.55,0.24,0,0,37,890,621,159,0,18,69.78,17.87,0,2.02,0.4864
6037240302,"Census Tract 2403.02, Los Angeles County, California",ca,140,0,6,37,240302,Census Tract 2403.02,,2849,2849,956,565,0,33.56,19.83,0,17338,72,0,11,0,2.54,0,0.39,0,36,1012,780,69,0,43,77.08,6.82,0,4.25,0.4282
6037240401,"Census Tract 2404.01, Los Angeles County, California",ca,140,0,6,37,240401,Census Tract 2404.01,,6409,6409,2197,1056,52,34.28,16.48,0.81,15181,159,0,0,0,2.54,0,0,0,36,2395,1801,356,0,25,75.2,14.86,0,1.04,0.4094
6037240402,"Census Tract 2404.02, Los Angeles County, California",ca,140,0,6,37,240402,Census Tract 2404.02,,4276,4276,1069,1041,131,25,24.35,3.06,21382,138,0,16,0,3.28,0,0.38,0,36,1666,1333,141,0,72,80.01,8.46,0,4.32,0.4688
6037240500,"Census Tract 2405, Los Angeles County, California",ca,140,0,6,37,240500,Census Tract 2405,,6760,6760,1065,1391,18,15.75,20.58,0.27,20867,203,0,0,0,3.07,0,0,0,37,2787,2168,389,0,14,77.79,13.96,0,0.5,0.524
6037240600,"Census Tract 2406, Los Angeles County, California",ca,140,0,6,37,240600,Census Tract 2406,,5431,5431,807,1239,3,14.86,22.81,0.06,19903,221,0,0,0,4.14,0,0,0,32,1743,1462,102,6,0,83.88,5.85,0.34,0,0.4105
6037240700,"Census Tract 2407, Los Angeles County, California",ca,140,0,6,37,240700,Census Tract 2407,,6324,6324,1754,1175,63,27.74,18.58,1,19917,136,10,0,19,2.17,0.16,0,0.3,36,2738,2300,182,0,78,84,6.65,0,2.85,0.4395
6037240800,"Census Tract 2408, Los Angeles County, California",ca,140,0,6,37,240800,Census Tract 2408,,4470,4470,1302,1000,112,29.13,22.37,2.51,19715,191,0,0,7,4.32,0,0,0.16,41,1778,1321,364,0,0,74.3,20.47,0,0,0.4981
6037240901,"Census Tract 2409.01, Los Angeles County, California",ca,140,0,6,37,240901,Census Tract 2409.01,,2711,2711,1158,161,24,42.71,5.94,0.89,17278,0,0,0,0,0,0,0,0,38,1018,952,40,0,26,93.52,3.93,0,2.55,0.4308
6037240902,"Census Tract 2409.02, Los Angeles County, California",ca,140,0,6,37,240902,Census Tract 2409.02,,3658,3658,1191,440,0,32.56,12.03,0,25225,374,0,0,0,10.59,0,0,0,29,1326,1178,84,0,0,88.84,6.33,0,0,0.6538
6037241001,"Census Tract 2410.01, Los Angeles County, California",ca,140,0,6,37,241001,Census Tract 2410.01,,4641,4641,1118,1308,0,24.09,28.18,0,20478,0,0,0,0,0,0,0,0,28,1832,1711,70,0,10,93.4,3.82,0,0.55,0.4414
6037241002,"Census Tract 2410.02, Los Angeles County, California",ca,140,0,6,37,241002,Census Tract 2410.02,,3776,3776,579,1166,9,15.33,30.88,0.24,21064,55,0,0,34,1.48,0,0,0.91,27,1276,1030,14,0,0,80.72,1.1,0,0,0.4634
6037241110,"Census Tract 2411.10, Los Angeles County, California",ca,140,0,6,37,241110,Census Tract 2411.10,,3819,3819,834,673,14,21.84,17.62,0.37,17165,39,0,0,0,1.05,0,0,0,31,1596,1340,163,0,31,83.96,10.21,0,1.94,0.3397
6037241120,"Census Tract 2411.20, Los Angeles County, California",ca,140,0,6,37,241120,Census Tract 2411.20,,4207,4207,1568,630,126,37.27,14.98,3,18265,127,0,8,0,3.17,0,0.2,0,37,1461,1079,289,0,23,73.85,19.78,0,1.57,0.4972
6037241201,"Census Tract 2412.01, Los Angeles County, California",ca,140,0,6,37,241201,Census Tract 2412.01,,3287,3287,533,1250,41,16.22,38.03,1.25,20933,78,0,8,0,2.44,0,0.25,0,35,1351,1130,94,0,41,83.64,6.96,0,3.03,0.4491
6037241202,"Census Tract 2412.02, Los Angeles County, California",ca,140,0,6,37,241202,Census Tract 2412.02,,5291,5291,1554,1771,0,29.37,33.47,0,24582,93,0,0,0,1.8,0,0,0,30,1973,1600,104,0,0,81.09,5.27,0,0,0.5189
6037241300,"Census Tract 2413, Los Angeles County, California",ca,140,0,6,37,241300,Census Tract 2413,,2376,2376,461,824,8,19.4,34.68,0.34,25711,14,0,0,0,0.6,0,0,0,30,969,716,87,0,11,73.89,8.98,0,1.14,0.4744
6037241400,"Census Tract 2414, Los Angeles County, California",ca,140,0,6,37,241400,Census Tract 2414,,3974,3974,694,788,38,17.46,19.83,0.96,24548,6,0,0,0,0.15,0,0,0,25,1799,1475,135,0,21,81.99,7.5,0,1.17,0.471
6037242000,"Census Tract 2420, Los Angeles County, California",ca,140,0,6,37,242000,Census Tract 2420,,4074,4074,649,934,135,15.93,22.93,3.31,25594,340,0,0,18,8.51,0,0,0.45,33,1487,1460,27,0,0,98.18,1.82,0,0,0.6048
6037242100,"Census Tract 2421, Los Angeles County, California",ca,140,0,6,37,242100,Census Tract 2421,,2680,2680,1010,494,29,37.69,18.43,1.08,11099,93,0,0,0,3.6,0,0,0,36,561,411,120,0,0,73.26,21.39,0,0,0.4983
6037242201,"Census Tract 2422.01, Los Angeles County, California",ca,140,0,6,37,242201,Census Tract 2422.01,,4011,4011,569,358,188,14.19,8.93,4.69,20655,59,0,0,0,1.48,0,0,0,37,1602,1324,153,0,67,82.65,9.55,0,4.18,0.4864
6037242202,"Census Tract 2422.02, Los Angeles County, California",ca,140,0,6,37,242202,Census Tract 2422.02,,2966,2966,297,633,0,10.01,21.34,0,15604,17,36,0,0,0.59,1.25,0,0,42,904,706,186,0,0,78.1,20.58,0,0,0.4776
6037242300,"Census Tract 2423, Los Angeles County, California",ca,140,0,6,37,242300,Census Tract 2423,,5010,5010,1033,1106,104,20.62,22.08,2.08,15779,224,0,30,0,4.53,0,0.61,0,38,1980,1373,291,69,14,69.34,14.7,3.48,0.71,0.4045
6037242600,"Census Tract 2426, Los Angeles County, California",ca,140,0,6,37,242600,Census Tract 2426,,4698,4698,685,1831,0,14.58,38.97,0,8916,411,0,0,0,9.22,0,0,0,31,1065,813,221,0,0,76.34,20.75,0,0,0.4961
6037242700,"Census Tract 2427, Los Angeles County, California",ca,140,0,6,37,242700,Census Tract 2427,,4982,4982,1153,883,2,23.14,17.72,0.04,18268,0,0,0,0,0,0,0,0,39,1976,1536,292,0,22,77.73,14.78,0,1.11,0.4078
6037243001,"Census Tract 2430.01, Los Angeles County, California",ca,140,0,6,37,243001,Census Tract 2430.01,,3444,3444,616,382,0,17.89,11.09,0,16597,41,0,0,0,1.23,0,0,0,27,1387,1040,85,0,40,74.98,6.13,0,2.88,0.3276
6037243002,"Census Tract 2430.02, Los Angeles County, California",ca,140,0,6,37,243002,Census Tract 2430.02,,2846,2846,1018,179,37,35.77,6.29,1.3,17880,0,0,0,0,0,0,0,0,35,1427,1145,55,60,49,80.24,3.85,4.2,3.43,0.2513
6037243100,"Census Tract 2431, Los Angeles County, California",ca,140,0,6,37,243100,Census Tract 2431,,5552,5552,818,1712,14,14.73,30.84,0.25,12607,271,0,0,32,5.13,0,0,0.61,33,1909,1736,56,24,12,90.94,2.93,1.26,0.63,0.4656
6037261102,"Census Tract 2611.02, Los Angeles County, California",ca,140,0,6,37,261102,Census Tract 2611.02,,3502,3502,3051,65,124,87.12,1.86,3.54,151240,27,0,52,0,0.78,0,1.49,0,30,1656,1249,0,0,0,75.42,0,0,0,0.5819
6037261103,"Census Tract 2611.03, Los Angeles County, California",ca,140,0,6,37,261103,Census Tract 2611.03,,1767,1767,1430,99,117,80.93,5.6,6.62,119184,0,0,0,0,0,0,0,0,29,849,548,15,8,0,64.55,1.77,0.94,0,0.4633
6037261104,"Census Tract 2611.04, Los Angeles County, California",ca,140,0,6,37,261104,Census Tract 2611.04,,1547,1547,1215,74,105,78.54,4.78,6.79,156755,0,0,0,0,0,0,0,0,23,771,415,0,0,0,53.83,0,0,0,0.5558
6037261200,"Census Tract 2612, Los Angeles County, California",ca,140,0,6,37,261200,Census Tract 2612,,3967,3967,2817,63,396,71.01,1.59,9.98,122256,33,0,0,12,0.84,0,0,0.31,37,1873,1342,0,11,8,71.65,0,0.59,0.43,0.5043
6037262100,"Census Tract 2621, Los Angeles County, California",ca,140,0,6,37,262100,Census Tract 2621,,2457,2457,2217,0,148,90.23,0,6.02,157306,9,0,0,11,0.37,0,0,0.45,26,1022,679,0,0,19,66.44,0,0,1.86,0.5684
6037262200,"Census Tract 2622, Los Angeles County, California",ca,140,0,6,37,262200,Census Tract 2622,,4378,4378,3165,192,488,72.29,4.39,11.15,148231,101,13,12,35,2.38,0.31,0.28,0.83,30,1908,1414,40,0,30,74.11,2.1,0,1.57,0.5811
6037262301,"Census Tract 2623.01, Los Angeles County, California",ca,140,0,6,37,262301,Census Tract 2623.01,,2806,2806,2064,82,351,73.56,2.92,12.51,128254,21,0,0,0,0.97,0,0,0,25,1147,662,19,0,186,57.72,1.66,0,16.22,0.4956
6037262302,"Census Tract 2623.02, Los Angeles County, California",ca,140,0,6,37,262302,Census Tract 2623.02,,2839,2839,2463,15,92,86.76,0.53,3.24,160973,14,0,32,14,0.5,0,1.14,0.5,22,1260,903,0,33,5,71.67,0,2.62,0.4,0.5337
6037262303,"Census Tract 2623.03, Los Angeles County, California",ca,140,0,6,37,262303,Census Tract 2623.03,,2749,2749,2375,24,183,86.4,0.87,6.66,180205,11,0,0,0,0.4,0,0,0,30,1343,822,0,0,6,61.21,0,0,0.45,0.4942
6037262400,"Census Tract 2624, Los Angeles County, California",ca,140,0,6,37,262400,Census Tract 2624,,2900,2900,2417,130,71,83.34,4.48,2.45,172521,173,0,48,53,6.2,0,1.72,1.9,25,1033,718,48,0,24,69.51,4.65,0,2.32,0.5282
6037262501,"Census Tract 2625.01, Los Angeles County, California",ca,140,0,6,37,262501,Census Tract 2625.01,,3709,3709,3272,21,243,88.22,0.57,6.55,147531,5,45,24,0,0.14,1.23,0.66,0,25,1704,901,0,32,27,52.88,0,1.88,1.58,0.5189
6037262601,"Census Tract 2626.01, Los Angeles County, California",ca,140,0,6,37,262601,Census Tract 2626.01,,3330,3330,2521,17,452,75.71,0.51,13.57,148174,0,0,0,0,0,0,0,0,31,1396,1001,0,0,6,71.7,0,0,0.43,0.4835
6037262604,"Census Tract 2626.04, Los Angeles County, California",ca,140,0,6,37,262604,Census Tract 2626.04,,5763,5763,4699,109,306,81.54,1.89,5.31,133867,225,0,66,0,3.98,0,1.17,0,25,2498,1518,0,0,22,60.77,0,0,0.88,0.5463
6037262704,"Census Tract 2627.04, Los Angeles County, California",ca,140,0,6,37,262704,Census Tract 2627.04,,3590,3590,2774,15,253,77.27,0.42,7.05,131164,179,46,18,0,5.16,1.33,0.52,0,26,1585,1147,11,25,12,72.37,0.69,1.58,0.76,0.565
6037262706,"Census Tract 2627.06, Los Angeles County, California",ca,140,0,6,37,262706,Census Tract 2627.06,,3492,3492,3182,0,224,91.12,0,6.41,142436,185,0,83,0,5.37,0,2.41,0,28,1455,819,0,28,101,56.29,0,1.92,6.94,0.5395
6037262802,"Census Tract 2628.02, Los Angeles County, California",ca,140,0,6,37,262802,Census Tract 2628.02,,3512,3512,2857,0,341,81.35,0,9.71,132886,24,0,20,0,0.69,0,0.58,0,22,1403,796,0,11,34,56.74,0,0.78,2.42,0.5892
6037264000,"Census Tract 2640, Los Angeles County, California",ca,140,0,6,37,264000,Census Tract 2640,,2968,2968,2439,0,236,82.18,0,7.95,160928,112,121,0,0,3.77,4.08,0,0,19,1129,630,0,0,31,55.8,0,0,2.75,0.5894
6037264102,"Census Tract 2641.02, Los Angeles County, California",ca,140,0,6,37,264102,Census Tract 2641.02,,2814,2814,2177,0,351,77.36,0,12.47,109203,143,38,90,49,5.11,1.36,3.22,1.75,27,1939,1174,0,51,96,60.55,0,2.63,4.95,0.4668
6037264103,"Census Tract 2641.03, Los Angeles County, California",ca,140,0,6,37,264103,Census Tract 2641.03,,2777,2777,2129,30,191,76.67,1.08,6.88,96108,148,85,75,8,5.46,3.14,2.77,0.3,24,2037,1129,80,20,126,55.42,3.93,0.98,6.19,0.3758
6037264303,"Census Tract 2643.03, Los Angeles County, California",ca,140,0,6,37,264303,Census Tract 2643.03,,2706,2706,2125,0,213,78.53,0,7.87,104090,519,72,75,7,19.18,2.66,2.77,0.26,26,2123,1263,87,48,113,59.49,4.1,2.26,5.32,0.3933
6037264304,"Census Tract 2643.04, Los Angeles County, California",ca,140,0,6,37,264304,Census Tract 2643.04,,2358,2358,1912,113,280,81.09,4.79,11.87,101910,288,154,150,113,12.27,6.56,6.39,4.81,27,1757,1275,62,8,74,72.57,3.53,0.46,4.21,0.4854
6037264305,"Census Tract 2643.05, Los Angeles County, California",ca,140,0,6,37,264305,Census Tract 2643.05,,4396,4396,3240,8,118,73.7,0.18,2.68,103739,436,96,12,21,10.53,2.32,0.29,0.51,26,2083,1358,151,0,10,65.19,7.25,0,0.48,0.592
6037264306,"Census Tract 2643.06, Los Angeles County, California",ca,140,0,6,37,264306,Census Tract 2643.06,,1703,1703,1344,55,194,78.92,3.23,11.39,89762,134,39,47,9,8.03,2.34,2.82,0.54,23,1171,762,0,85,71,65.07,0,7.26,6.06,0.4672
6037265100,"Census Tract 2651, Los Angeles County, California",ca,140,0,6,37,265100,Census Tract 2651,,2413,2413,1989,128,113,82.43,5.3,4.68,187715,67,0,0,0,2.78,0,0,0,24,826,594,0,0,19,71.91,0,0,2.3,0.658
6037265201,"Census Tract 2652.01, Los Angeles County, California",ca,140,0,6,37,265201,Census Tract 2652.01,,2615,2615,1881,78,431,71.93,2.98,16.48,98425,109,30,79,0,5.5,1.51,3.98,0,24,954,645,28,0,139,67.61,2.94,0,14.57,0.628
6037265203,"Census Tract 2652.03, Los Angeles County, California",ca,140,0,6,37,265203,Census Tract 2652.03,,1988,1988,1395,179,293,70.17,9,14.74,88835,89,136,39,93,4.48,6.85,1.96,4.68,22,821,288,20,0,191,35.08,2.44,0,23.26,0.59
6037265204,"Census Tract 2652.04, Los Angeles County, California",ca,140,0,6,37,265204,Census Tract 2652.04,,1544,1544,853,14,450,55.25,0.91,29.15,79830,488,82,90,240,31.94,5.37,5.89,15.71,27,714,204,0,0,294,28.57,0,0,41.18,0.6293
6037265301,"Census Tract 2653.01, Los Angeles County, California",ca,140,0,6,37,265301,Census Tract 2653.01,,12794,12794,4640,747,5031,36.27,5.84,39.32,6466,0,0,0,0,,,,,15,3354,543,190,0,2066,16.19,5.66,0,61.6,
6037265303,"Census Tract 2653.03, Los Angeles County, California",ca,140,0,6,37,265303,Census Tract 2653.03,,4736,4736,1772,278,1778,37.42,5.87,37.54,22907,1946,300,196,274,41.09,6.33,4.14,5.79,21,2060,687,67,49,863,33.35,3.25,2.38,41.89,0.6107
6037265304,"Census Tract 2653.04, Los Angeles County, California",ca,140,0,6,37,265304,Census Tract 2653.04,,3009,3009,1318,119,1212,43.8,3.95,40.28,12333,885,490,131,111,39.12,21.66,5.79,4.91,22,1126,413,33,24,413,36.68,2.93,2.13,36.68,0.6036
6037265306,"Census Tract 2653.06, Los Angeles County, California",ca,140,0,6,37,265306,Census Tract 2653.06,,1788,1788,895,84,431,50.06,4.7,24.11,17670,751,135,18,31,58.4,10.5,1.4,2.41,15,780,167,19,14,438,21.41,2.44,1.79,56.15,0.5774
6037265307,"Census Tract 2653.07, Los Angeles County, California",ca,140,0,6,37,265307,Census Tract 2653.07,,2190,2190,892,311,749,40.73,14.2,34.2,35425,340,116,192,93,19.68,6.71,11.11,5.38,22,1175,218,66,19,678,18.55,5.62,1.62,57.7,0.6096
6037265410,"Census Tract 2654.10, Los Angeles County, California",ca,140,0,6,37,265410,Census Tract 2654.10,,1679,1679,1441,0,177,85.82,0,10.54,100482,117,9,5,0,7.1,0.55,0.3,0,27,757,420,28,8,47,55.48,3.7,1.06,6.21,0.5047
6037265420,"Census Tract 2654.20, Los Angeles County, California",ca,140,0,6,37,265420,Census Tract 2654.20,,1474,1474,1022,20,223,69.34,1.36,15.13,180865,16,0,7,23,1.1,0,0.48,1.58,17,654,383,12,0,19,58.56,1.83,0,2.91,0.5238
6037265521,"Census Tract 2655.21, Los Angeles County, California",ca,140,0,6,37,265521,Census Tract 2655.21,,1569,1569,734,0,694,46.78,0,44.23,70636,169,74,83,149,10.84,4.75,5.32,9.56,21,1061,371,12,5,348,34.97,1.13,0.47,32.8,0.4644
6037265522,"Census Tract 2655.22, Los Angeles County, California",ca,140,0,6,37,265522,Census Tract 2655.22,,2086,2086,1093,142,551,52.4,6.81,26.41,71831,561,51,78,428,27.06,2.46,3.76,20.65,21,1278,832,47,52,104,65.1,3.68,4.07,8.14,0.5322
6037265523,"Census Tract 2655.23, Los Angeles County, California",ca,140,0,6,37,265523,Census Tract 2655.23,,2180,2180,1241,0,277,56.93,0,12.71,75413,547,6,31,19,25.88,0.28,1.47,0.9,22,1517,640,6,40,0,42.19,0.4,2.64,0,0.5233
6037265524,"Census Tract 2655.24, Los Angeles County, California",ca,140,0,6,37,265524,Census Tract 2655.24,,2864,2864,1753,188,466,61.21,6.56,16.27,79624,242,0,79,0,8.49,0,2.77,0,21,1641,1111,30,51,174,67.7,1.83,3.11,10.6,0.5171
6037265601,"Census Tract 2656.01, Los Angeles County, California",ca,140,0,6,37,265601,Census Tract 2656.01,,3019,3019,2363,34,373,78.27,1.13,12.36,72202,319,0,63,102,10.88,0,2.15,3.48,22,1539,787,7,94,204,51.14,0.45,6.11,13.26,0.5464
6037265602,"Census Tract 2656.02, Los Angeles County, California",ca,140,0,6,37,265602,Census Tract 2656.02,,2928,2928,2311,43,235,78.93,1.47,8.03,96028,190,26,18,56,6.63,0.91,0.63,1.96,26,1180,766,26,0,103,64.92,2.2,0,8.73,0.6443
6037265701,"Census Tract 2657.01, Los Angeles County, California",ca,140,0,6,37,265701,Census Tract 2657.01,,1745,1745,1181,120,268,67.68,6.88,15.36,85239,81,21,37,11,4.7,1.22,2.14,0.64,22,859,493,8,0,116,57.39,0.93,0,13.5,0.5252
6037265702,"Census Tract 2657.02, Los Angeles County, California",ca,140,0,6,37,265702,Census Tract 2657.02,,2993,2993,2575,28,77,86.03,0.94,2.57,102906,354,0,0,6,11.94,0,0,0.2,25,972,618,26,0,74,63.58,2.67,0,7.61,0.6149
6037267101,"Census Tract 2671.01, Los Angeles County, California",ca,140,0,6,37,267101,Census Tract 2671.01,,3136,3136,2315,0,604,73.82,0,19.26,68257,189,12,12,0,6.03,0.38,0.38,0,27,1834,1050,50,0,70,57.25,2.73,0,3.82,0.4066
6037267102,"Census Tract 2671.02, Los Angeles County, California",ca,140,0,6,37,267102,Census Tract 2671.02,,2928,2928,2018,58,659,68.92,1.98,22.51,123411,54,0,65,0,1.86,0,2.23,0,20,1739,1052,126,0,127,60.49,7.25,0,7.3,0.6284
6037267201,"Census Tract 2672.01, Los Angeles County, California",ca,140,0,6,37,267201,Census Tract 2672.01,,2775,2775,1938,33,503,69.84,1.19,18.13,71248,215,80,100,19,7.96,2.96,3.7,0.7,22,1681,1008,22,20,117,59.96,1.31,1.19,6.96,0.4809
6037267202,"Census Tract 2672.02, Los Angeles County, California",ca,140,0,6,37,267202,Census Tract 2672.02,,3654,3654,2210,254,921,60.48,6.95,25.21,87792,289,215,91,115,8.16,6.07,2.57,3.25,24,2115,1291,118,27,26,61.04,5.58,1.28,1.23,0.5361
6037267300,"Census Tract 2673, Los Angeles County, California",ca,140,0,6,37,267300,Census Tract 2673,,3865,3865,2238,260,706,57.9,6.73,18.27,65786,380,144,97,0,10.18,3.86,2.6,0,24,2463,1659,150,63,95,67.36,6.09,2.56,3.86,0.4856
6037267403,"Census Tract 2674.03, Los Angeles County, California",ca,140,0,6,37,267403,Census Tract 2674.03,,3538,3538,2536,228,501,71.68,6.44,14.16,61930,280,77,144,47,7.95,2.19,4.09,1.33,20,2297,1538,118,44,161,66.96,5.14,1.92,7.01,0.4109
6037267404,"Census Tract 2674.04, Los Angeles County, California",ca,140,0,6,37,267404,Census Tract 2674.04,,3325,3325,1961,176,749,58.98,5.29,22.53,60842,328,21,90,0,9.9,0.63,2.72,0,22,2119,1358,219,119,89,64.09,10.34,5.62,4.2,0.5025
6037267405,"Census Tract 2674.05, Los Angeles County, California",ca,140,0,6,37,267405,Census Tract 2674.05,,2527,2527,1753,41,321,69.37,1.62,12.7,74148,392,42,20,30,16.44,1.76,0.84,1.26,25,1807,1149,80,24,60,63.59,4.43,1.33,3.32,0.4292
6037267406,"Census Tract 2674.06, Los Angeles County, California",ca,140,0,6,37,267406,Census Tract 2674.06,,1963,1963,1113,75,315,56.7,3.82,16.05,65935,340,0,92,0,17.75,0,4.8,0,26,1282,592,60,54,192,46.18,4.68,4.21,14.98,0.4205
6037267502,"Census Tract 2675.02, Los Angeles County, California",ca,140,0,6,37,267502,Census Tract 2675.02,,3228,3228,2102,7,497,65.12,0.22,15.4,68139,212,12,33,156,6.65,0.38,1.03,4.89,23,2205,1112,251,105,191,50.43,11.38,4.76,8.66,0.5255
6037267503,"Census Tract 2675.03, Los Angeles County, California",ca,140,0,6,37,267503,Census Tract 2675.03,,2159,2159,1024,16,914,47.43,0.74,42.33,96594,145,0,0,20,6.72,0,0,0.93,22,1538,727,120,64,20,47.27,7.8,4.16,1.3,0.4738
6037267504,"Census Tract 2675.04, Los Angeles County, California",ca,140,0,6,37,267504,Census Tract 2675.04,,3396,3396,2071,39,708,60.98,1.15,20.85,82442,299,63,95,33,8.98,1.89,2.85,0.99,24,2239,1208,87,272,164,53.95,3.89,12.15,7.32,0.4673
