FIPS,Qualifying Name,State Postal Abbreviation,Summary Level,Geographic Component,State (FIPS Code),County of current residence,Census Tract,Area Name,Tribal Tract,Total Population,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: Asian Alone,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: Asian Alone,Per Capita Income (In 2022 Inflation Adjusted Dollars),Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved WithIn Same County,Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Different County WithIn Same State,Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Different State,Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Abroad,% Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved WithIn Same County,% Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Different County WithIn Same State,% Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Different State,% Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Abroad,Average Commute to Work (In Min),Workers 16 Years and Over:,"Workers 16 Years and Over: Car, Truck, or Van",Workers 16 Years and Over: Public Transportation (Includes Taxicab),Workers 16 Years and Over: Bicycle,Workers 16 Years and Over: Walked,"% Workers 16 Years and Over: Car, Truck, or Van",% Workers 16 Years and Over: Public Transportation (Includes Taxicab),% Workers 16 Years and Over: Bicycle,% Workers 16 Years and Over: Walked,Gini Index
6001427700,"Census Tract 4277, Alameda County, California",ca,140,0,6,1,427700,Census Tract 4277,,5009,5009,3224,111,1129,64.36,2.22,22.54,69344,212,153,40,14,4.24,3.06,0.8,0.28,33,2869,1577,393,11,123,54.97,13.7,0.38,4.29,0.4632
6001427800,"Census Tract 4278, Alameda County, California",ca,140,0,6,1,427800,Census Tract 4278,,4274,4274,2322,187,978,54.33,4.38,22.88,81854,209,166,29,32,4.9,3.89,0.68,0.75,34,2379,1300,402,47,22,54.64,16.9,1.98,0.92,0.5413
6001427900,"Census Tract 4279, Alameda County, California",ca,140,0,6,1,427900,Census Tract 4279,,4686,4686,2654,31,1182,56.64,0.66,25.22,85506,148,46,98,14,3.21,1,2.12,0.3,41,2567,1426,492,85,50,55.55,19.17,3.31,1.95,0.5378
6001428000,"Census Tract 4280, Alameda County, California",ca,140,0,6,1,428000,Census Tract 4280,,2906,2906,966,374,700,33.24,12.87,24.09,45278,432,65,100,21,15.4,2.32,3.57,0.75,34,1418,801,327,5,52,56.49,23.06,0.35,3.67,0.3328
6001428100,"Census Tract 4281, Alameda County, California",ca,140,0,6,1,428100,Census Tract 4281,,4866,4866,2739,332,1113,56.29,6.82,22.87,71576,380,234,70,0,7.87,4.84,1.45,0,34,2552,1469,389,11,12,57.56,15.24,0.43,0.47,0.4115
6001428200,"Census Tract 4282, Alameda County, California",ca,140,0,6,1,428200,Census Tract 4282,,6475,6475,3543,215,1267,54.72,3.32,19.57,64933,580,16,51,26,9.03,0.25,0.79,0.4,37,2990,1712,362,107,89,57.26,12.11,3.58,2.98,0.4909
6001428301,"Census Tract 4283.01, Alameda County, California",ca,140,0,6,1,428301,Census Tract 4283.01,,7203,7203,2113,368,3730,29.33,5.11,51.78,69429,110,0,16,0,1.54,0,0.22,0,38,3858,2187,694,86,93,56.69,17.99,2.23,2.41,0.3383
6001428302,"Census Tract 4283.02, Alameda County, California",ca,140,0,6,1,428302,Census Tract 4283.02,,7022,7022,3369,61,2837,47.98,0.87,40.4,85873,79,44,25,0,1.14,0.63,0.36,0,37,3397,2181,373,28,0,64.2,10.98,0.82,0,0.3659
6001428400,"Census Tract 4284, Alameda County, California",ca,140,0,6,1,428400,Census Tract 4284,,4756,4756,1922,372,1242,40.41,7.82,26.11,55037,272,75,64,81,6.25,1.72,1.47,1.86,30,2382,1292,308,126,12,54.24,12.93,5.29,0.5,0.5031
6001428500,"Census Tract 4285, Alameda County, California",ca,140,0,6,1,428500,Census Tract 4285,,3302,3302,1489,371,896,45.09,11.24,27.14,74329,221,101,33,54,7.03,3.21,1.05,1.72,31,1785,903,311,22,103,50.59,17.42,1.23,5.77,0.4008
6001428600,"Census Tract 4286, Alameda County, California",ca,140,0,6,1,428600,Census Tract 4286,,3235,3235,1447,193,1061,44.73,5.97,32.8,79822,74,177,123,11,2.42,5.78,4.02,0.36,31,1863,890,217,56,33,47.77,11.65,3.01,1.77,0.424
6001428700,"Census Tract 4287, Alameda County, California",ca,140,0,6,1,428700,Census Tract 4287,,5078,5078,1361,911,1949,26.8,17.94,38.38,59992,160,79,177,24,3.31,1.64,3.67,0.5,29,2035,1192,189,69,50,58.57,9.29,3.39,2.46,0.5434
6001430101,"Census Tract 4301.01, Alameda County, California",ca,140,0,6,1,430101,Census Tract 4301.01,,7034,7034,2509,230,3426,35.67,3.27,48.71,74512,0,0,165,144,0,0,2.35,2.05,34,3611,2716,185,24,36,75.21,5.12,0.66,1,0.3491
